L/R,p_x,p_y,p_z,v_x,v_y,v_z,a_x,a_y,a_z,t
L,-0.2659804,1.232158,0.009035274,-0.365703,0.7394215,0.05558807,4.628868,-10.36449,-4.406256,0.05295563
L,-0.266746,1.240623,0.006335221,-0.05847993,0.6466073,-0.2062362,23.4664,-7.089365,-19.99874,0.06604767
L,-0.265406,1.243029,0.003959129,0.0971195,0.1743676,-0.1722085,11.27715,-34.22582,2.466174,0.07984543
L,-0.2648723,1.245497,0.002326024,0.04165116,0.1925796,-0.1274513,-4.328876,1.421311,3.49296,0.092659
L,-0.2649965,1.247834,0.001843722,-0.008765141,0.1649226,-0.03403297,-3.557559,-1.951581,6.591937,0.1068306
L,-0.2653186,1.25049,0.001389135,-0.02415707,0.1991919,-0.03408672,-1.154148,2.56965,-0.004029996,0.1201668
L,-0.2658039,1.253502,0.0009329702,-0.03813278,0.23667,-0.03584559,-1.098215,2.945042,-0.1382129,0.1328926
L,-0.2657301,1.253652,0.0008858474,0.005674945,0.01156525,-0.003622571,3.367722,-17.30495,2.477147,0.1459007
L,-0.2646747,1.255588,0.0004430514,0.08035779,0.1473461,-0.03371371,5.686222,10.33811,-2.291087,0.1590347
L,-0.2666069,1.259385,0.00247255,-0.1243918,0.2444361,0.1306535,-13.18121,6.250385,10.5815,0.1745682
L,-0.268543,1.263551,0.004235907,-0.1450112,0.3120357,0.1320724,-1.544354,5.063096,0.1062734,0.1879196
L,-0.2702919,1.267615,0.005603993,-0.1355568,0.315041,0.1060424,0.7328215,0.2329474,-2.017622,0.2008209
L,-0.273963,1.273006,0.006779152,-0.2921552,0.4289997,0.09352183,-12.46246,9.069089,-0.9964175,0.2133865
L,-0.2769061,1.277846,0.007691579,-0.2091416,0.3439279,0.06483796,5.899029,-6.045287,-2.038304,0.227459
L,-0.2772495,1.278183,0.007031952,-0.0248409,0.02438604,-0.04771443,13.33149,-23.11423,-8.141539,0.2412834
L,-0.2776537,1.278826,0.006642173,-0.02795391,0.04445086,-0.02695999,-0.215318,1.387829,1.435529,0.2557411
L,-0.2782037,1.279849,0.006317808,-0.0388939,0.07239681,-0.02293779,-0.7736319,1.976225,0.2844332,0.2698822
L,-0.2798726,1.283982,0.006929388,-0.1291345,0.3197868,0.04732059,-6.982303,19.14161,5.43619,0.2828064
